CNTSTUID,GRADE,AGE,ISCEDL,PARED,HISEI,IMMIG,REPEAT,MMINS,LMINS,SMINS,ESCS,UNDREM,METASUM,METASPAM,ICTHOME,ICTSCH,HOMEPOS,CULTPOSS,HEDRES,ICTRES,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PISADIFF,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,RESILIENCE,MASTGOAL,GCSELFEFF,GCAWARE,INTCULT,PERSPECT,COGFLEX,RESPECT,AWACOM,GLOBMIND,BELONG,BEINGBULLIED,ENTUSE,HOMESCH,USESCH,INTICT,COMPICT,AUTICT,SOIAICT,ICTCLASS,ICTOUTSIDE,WVARSTRR,GENDER,MATH,SCIENCE,READ,TOTALSCORE,"Is_MISCED_5A,6","Is_FISCED_5A,6"
70206796.0,0.0,15.5,ISCED level 3,16.0,75.13,Native,Did not repeat a  grade,210.0,245.0,210.0,0.9596,1.15,1.36,1.33,8.0,9.0,0.4178,-0.1239,1.1793,0.6901,0.2108,1.314,0.0837,2.0165,1.0346,-0.9225,0.4599,0.1744,0.428,-0.4089,0.409,1.6524,1.563,-0.4213,1.0844,0.4352,1.1448,0.8794,-0.4684,0.5761,-0.1856,-0.7952,0.2865,0.6686,-0.4652,0.9289,-0.1577,0.6775,-0.4415,-0.7823,-0.3953,-0.5294,-0.253,-0.3735,-0.9457,-0.9806,-0.5464,-1.2188,2.4969,74.0,1,444.0417000000001,472.753,509.42840000000007,475.4077,0,1
70200517.0,0.0,15.5,ISCED level 3,11.0,52.4,First-Generation,Did not repeat a  grade,240.0,200.0,240.0,-0.202,-0.94,1.36,0.87,9.0,5.0,0.1498,-0.4825,0.0477,1.2943,-0.0424,0.7628,-0.0424,1.5844,-0.6576,0.0236,-0.1687,0.9276,-1.793,1.0657,0.1856,-0.8863,0.6912,-0.4213,1.0844,1.2643,-0.1015,-0.2006,0.3858,0.5761,-1.5405,1.0172,-0.6476,-0.4195,0.0086,-0.6994,0.7928,-0.0287,0.6818,0.2907,0.9141,0.0336,-0.1629,0.8631,0.0537,2.0258,0.5149,-1.2188,2.3679,22.0,0,624.5988,545.2067,551.7318,573.8457666666667,0,0
70200574.0,1.0,15.58,ISCED level 4,16.0,65.25,First-Generation,Did not repeat a  grade,360.0,200.0,840.0,0.5822,-0.25,1.36,1.33,8.0,7.0,0.294,0.0902,1.1793,0.333,0.1381,-0.013,0.3737,1.251,0.5029,0.9261,0.635,1.2403,-0.2039,0.6994,-0.556,-1.272,1.4734,-0.5358,0.0281,1.1811,-0.1982,0.9109,1.1268,0.7181,1.6463,1.5738,0.4289,0.1495,0.7885,0.4561,1.1549,0.1169,-0.0889,0.7703,-0.099,0.4015,-1.0707,0.6253,0.916,0.6679,0.1514,-0.4907,1.3895,55.0,1,627.2735,641.7936,619.9950999999999,629.6873999999999,1,1
70205451.0,0.0,15.33,ISCED level 3,16.0,79.49,Native,Did not repeat a  grade,315.0,175.0,175.0,1.0306,0.45,0.59,0.87,10.0,6.0,0.3312,0.3708,1.1793,-0.044,1.4022,0.6259,-0.4616,-0.3253,-0.6439,0.5441,0.1915,-0.2934,-0.1542,0.1222,-0.524,-1.272,0.444,0.6012,-0.6117,0.1956,0.5693,-0.3799,-0.0614,0.7181,0.1587,-0.1764,-0.4168,0.879,0.2165,-0.4401,-0.1577,0.5076,-0.0939,-0.7823,-0.3515,0.0181,0.1284,0.1427,0.0537,0.0979,0.1419,-1.2188,-1.3048,54.0,1,742.2574000000001,656.9634,667.0660999999999,688.7623,0,1
70206373.0,0.0,16.25,ISCED level 3,16.0,79.49,First-Generation,Did not repeat a  grade,200.0,250.0,150.0,0.8444,-0.94,-0.18,0.42,9.0,4.0,-0.062,-0.1239,1.1793,-0.1536,-0.582,-0.6262,-0.5072,0.5121,-0.6576,-0.62,-0.5786,0.1744,0.0127,-1.0985,0.9065,1.6524,-0.043,-0.9391,1.0844,-0.2047,-0.6545,1.4083,-1.2865,0.5761,-1.7702,-1.3469,-0.4982,-0.7997,-1.5249,-1.4721,-0.4741,-0.3803,-1.2565,1.1625,-0.3063,-0.0686,-0.4011,-0.0186,-0.7868,-0.6031,-0.7345,-1.0384,-0.5931,79.0,0,632.5595999999999,551.399,513.4959,565.8181666666666,1,1
70204786.0,0.0,16.17,ISCED level 3,8.0,65.25,Native,Did not repeat a  grade,480.0,480.0,560.0,-1.1725,-0.94,0.98,1.33,5.0,7.0,-1.1662,-0.8939,-1.9645,0.3875,0.2377,1.314,1.8202,2.0165,0.5029,0.5102,2.0073,1.8245,-1.7421,0.1222,-0.0697,0.2705,-0.6142,-0.3047,1.0844,-0.2661,-0.772,-1.1858,-0.4684,-0.4347,0.1904,-0.0549,-0.4982,1.9097,1.3092,0.9289,2.0513,0.291,-0.445,-0.7823,-1.3977,-0.8148,-1.0595,-0.1842,0.0537,0.0979,-0.9139,-1.2188,-1.3048,79.0,0,485.4853000000001,529.5131000000001,555.3005,523.4329666666667,0,0
70203380.0,0.0,15.42,ISCED level 3,16.0,29.73,Native,Did not repeat a  grade,380.0,200.0,240.0,0.2596,0.8,0.21,0.42,9.0,5.0,0.3885,0.0736,0.031,0.5236,-1.145,-0.5575,0.006,-0.3253,-1.5824,-0.8885,-0.1687,-0.3689,-0.3696,-1.4704,1.2421,0.2705,0.9636,-0.5358,0.0083,0.1956,-0.772,0.1097,-0.0614,0.0337,0.6836,-0.0549,-1.112,-0.7582,-0.8613,-1.4721,-0.7507,-0.2585,-0.6843,1.4721,-0.0703,1.1547,-1.7161,0.6246,0.1955,0.7841,1.7427,-1.0928,0.2858,5.0,0,572.6116000000001,590.9345999999999,518.0156,560.5206,1,1
70202670.0,-1.0,15.58,ISCED level 3,16.0,75.54,First-Generation,Did not repeat a  grade,240.0,240.0,240.0,1.3564,0.8,1.36,1.33,9.0,8.0,1.5463,0.8549,1.1793,1.2943,1.3671,1.314,1.1049,2.0165,1.0346,1.4931,2.0073,1.3209,2.6131,1.8839,-1.8876,-1.272,2.0378,-0.2119,0.4667,0.992,0.487,0.8207,0.8021,1.1969,1.0867,0.8109,0.9514,0.0833,2.1449,0.9289,0.6499,0.8319,-0.8611,1.4721,-0.0792,0.5689,0.6288,0.608,1.1228,-0.5753,-1.6386,1.6183,1.7553,13.0,0,616.7613,693.4874,682.5600999999999,664.2696,1,1
70202356.0,0.0,16.25,ISCED level 3,13.0,75.54,Native,Did not repeat a  grade,315.0,225.0,360.0,0.7631,0.45,0.59,-0.5,8.0,7.0,0.4604,0.3452,1.1793,0.1789,0.7843,0.6259,0.9758,0.7743,1.0346,0.5102,0.3695,0.8674,0.8628,0.1222,0.409,-1.272,0.6912,0.6012,-0.6583,0.1956,1.1448,0.4637,1.217,0.9703,0.855,1.2584,0.5116,1.3485,2.1449,0.9289,2.0513,1.1444,0.6818,-0.7823,0.5388,0.4869,0.7823,1.3762,0.1782,-0.5023,0.5149,-1.2188,-0.6237,26.0,1,655.0595000000001,662.8086999999999,672.5468,663.4716666666667,0,0
70200745.0,0.0,16.17,ISCED level 3,11.0,25.09,Native,Did not repeat a  grade,720.0,720.0,720.0,-0.5104,-1.64,-0.18,0.42,9.0,10.0,0.7173,0.6,1.1793,0.6901,-1.429,-0.0348,0.006,0.5121,-0.6576,0.2751,0.4572,0.1744,0.0495,0.1222,0.409,-1.272,0.6912,1.6762,-0.6583,-0.5707,-0.6545,-0.3799,-0.7622,-0.4347,-0.5694,-1.9652,-0.4982,-3.2053,-3.2784,-0.4401,2.0513,0.291,-0.6436,-0.7823,0.4389,-2.2971,-1.7161,-2.9336,-2.6033,-2.5144,-2.1763,-0.5374,-1.3048,45.0,0,524.3462999999999,482.2393,487.184,497.9232,0,0
