CNTSTUID,EFFORT1,EFFORT2,GRADE,AGE,ISCEDO,PARED,HISEI,MMINS,LMINS,SMINS,TMINS,ESCS,UNDREM,METASUM,METASPAM,ICTHOME,ICTSCH,HOMEPOS,CULTPOSS,HEDRES,WEALTH,ICTRES,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PISADIFF,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,BELONG,BEINGBULLIED,ENTUSE,HOMESCH,USESCH,INTICT,COMPICT,AUTICT,SOIAICT,ICTCLASS,ICTOUTSIDE,WVARSTRR,GENDER,MATH,SCIENCE,READ,TOTALSCORE,"Is_MISCED_5A,6","Is_FISCED_5A,6"
39200696.0,7.0,9.0,0.0,16.08,General,12.0,28.48,250.0,200.0,150.0,1500.0,-1.031,1.5,0.59,1.33,8.0,1.0,-0.6704,-0.5278,-0.1357,-0.8909,-1.1421,2.0345,-0.2023,-0.2546,-1.6391,0.2169,-1.6579,0.4572,-1.0615,-0.6278,-2.4403,0.9065,1.2958,-0.6142,-0.9391,0.4667,0.1956,0.6291,0.4637,-0.6723,0.7301,-0.0614,0.9703,-0.1657,-0.7823,-0.5135,-2.2971,-1.7161,0.2373,-0.8885,0.0979,0.2783,-1.2188,-1.3048,32.0,1,550.6841000000001,530.6123,514.4099,531.9021,0,0
39206078.0,8.0,9.0,0.0,15.58,General,16.0,53.15,250.0,250.0,300.0,1750.0,0.3919,0.45,-1.34,-0.96,7.0,4.0,0.0659,0.0763,1.1793,-0.9938,-0.8939,1.4424,-0.2023,1.8202,0.0728,-0.6576,0.2751,0.7368,-0.6414,1.4712,0.1222,-0.0362,0.2705,0.6912,0.6012,-0.6583,1.1811,1.0596,1.0944,-0.9827,0.7301,0.4558,-0.4347,-0.3184,0.2907,0.9948,-1.0423,-1.7161,-0.3735,-0.9457,-0.2683,-0.5464,-0.6098,-1.3048,12.0,0,598.9621,565.6505,572.9494,579.1873333333333,0,1
39203812.0,7.0,10.0,0.0,15.33,General,16.0,68.7,270.0,135.0,180.0,1575.0,0.6183,-1.64,-0.57,-1.41,4.0,6.0,-0.0991,-0.8449,0.031,-0.0281,-0.1931,-2.7124,-2.7106,-2.9425,-1.6391,1.0346,-2.3003,-2.2652,-2.2177,-2.7114,-1.3776,2.7752,2.0802,2.0378,1.6762,-2.5375,-2.345,-2.7365,1.8905,-2.1464,-2.0719,-1.295,-1.3874,-1.2351,-0.7823,-0.0674,-2.2656,-1.7161,-0.3354,1.2754,2.0258,-2.1763,0.9022,-1.3048,36.0,1,514.7825,477.5151000000001,484.9112,492.40293333333335,0,1
39205303.0,6.0,6.0,0.0,16.0,General,14.0,46.38,250.0,150.0,100.0,1500.0,-0.3499,0.45,-0.18,1.33,9.0,8.0,-0.8139,-1.8511,-1.0527,-0.1461,-1.1421,0.871,-1.1481,-0.5066,-1.6391,-1.2947,-0.62,0.4572,-0.8262,-0.1542,-0.4089,-0.0697,0.2705,-0.6142,-0.9391,-0.6583,-0.9792,-0.6545,-0.4342,-0.9827,-0.5928,-0.4909,-0.6331,-0.3184,-0.7823,-0.8335,-2.2971,-1.1598,-1.0234,-1.1888,-1.1563,-0.7345,-0.5146,-1.3048,29.0,1,533.4127000000001,584.4245000000001,551.9194,556.5855333333334,0,0
39202501.0,5.0,9.0,0.0,15.67,General,14.0,39.02,440.0,385.0,330.0,1925.0,-0.146,0.1,-1.72,-1.41,8.0,8.0,-0.0008,-0.5278,-0.6122,0.3302,0.1629,0.7767,-0.3673,-0.3275,0.0728,-0.6576,0.2432,0.1041,-1.0615,0.5046,-0.825,0.9065,0.2705,-0.6142,-0.9391,-0.6583,-0.2661,-0.7233,-0.687,-0.9827,0.1038,-0.5176,-1.1295,-0.0358,-0.7823,-0.5243,-1.1209,-1.7161,-0.8244,-1.0481,-0.2274,-0.437,-1.2188,0.8903,35.0,0,587.0565,591.3967,563.7423000000001,580.7318333333334,0,0
39205682.0,5.0,4.0,0.0,16.08,General,16.0,65.23,300.0,250.0,150.0,2450.0,0.9895,0.8,-0.18,-0.5,8.0,5.0,0.9343,1.1084,-0.1357,0.4442,-0.6463,-1.1923,-0.2023,0.3183,-1.1311,-1.5824,0.5102,-0.1716,-0.2934,1.3468,0.1222,0.0755,0.2705,-0.6142,0.6012,1.0844,-0.9792,-1.3692,1.8905,-0.1652,0.7301,-1.0586,-0.6331,-1.112,1.2618,-0.6914,-1.1952,-0.289,-0.3345,-1.0481,0.0979,-0.265,0.391,-1.3048,59.0,1,503.3845,522.9481,520.7058,515.6794666666666,0,1
39201471.0,6.0,6.0,0.0,15.92,Vocational,12.0,51.56,200.0,200.0,100.0,2000.0,-1.8841,-1.64,-1.34,-1.41,6.0,2.0,-2.0742,-1.8511,-2.049,-1.1667,-1.4409,-1.3222,0.0483,-0.2087,-0.0363,-1.1847,-0.8885,-0.5786,-0.8262,0.5006,-2.4403,-1.8876,-1.272,0.6912,-0.1855,1.0844,0.1956,-0.7233,0.1097,-0.3121,0.3385,-0.4909,0.3468,-0.3692,-0.7823,0.198,-2.2971,-1.7161,-1.3182,-2.6033,-0.9382,-0.4203,-1.2188,-1.3048,34.0,0,372.8696000000001,374.5164,323.74859999999995,357.0448666666667,0,0
39205056.0,5.0,8.0,0.0,15.25,General,16.0,81.92,150.0,200.0,100.0,1800.0,0.6252,1.15,0.59,1.33,7.0,5.0,-0.6781,-0.7076,-0.1357,-0.7103,-1.1421,-0.0424,-0.7857,-0.0424,-1.6391,-0.6576,-0.62,-0.1716,-1.0615,-1.2321,-2.4403,2.7752,0.2705,-0.6142,-0.9391,-0.6583,0.1956,-0.1015,-0.687,0.0494,0.1038,-1.4832,-0.4347,-0.3184,-0.7823,-0.8015,-0.699,-0.294,-1.0162,-1.1888,-0.3623,-0.7345,-1.2188,-1.3048,48.0,0,630.9365,604.8635999999999,575.8036999999999,603.8679333333333,0,1
39204419.0,8.0,8.0,0.0,15.67,General,14.0,51.56,200.0,200.0,100.0,1500.0,0.0707,0.45,-0.18,-0.5,11.0,1.0,0.4136,0.0763,-0.1357,0.5162,-0.1766,0.9374,-0.5284,-1.3315,-0.99,-0.6576,-0.1998,0.4572,-0.2937,-0.4389,-0.7391,-0.524,0.2705,-0.1532,0.6012,-1.1507,-0.733,0.5693,0.1097,-0.6723,0.7301,-0.7622,-0.3152,0.6818,-0.7823,0.3371,-2.2971,-1.7161,-0.3875,-1.0481,-0.2274,-0.7345,-0.1653,-1.3048,9.0,1,396.9722,416.6245,414.8618,409.4861666666668,0,1
39205927.0,10.0,10.0,0.0,15.42,General,16.0,43.33,300.0,400.0,200.0,1650.0,0.2804,1.5,1.36,1.33,6.0,4.0,0.2446,-0.1452,-0.1357,0.2071,0.1935,2.0345,-0.0037,0.5467,-0.3253,1.0346,2.0871,0.4546,0.9888,-0.6278,0.1222,0.409,0.2705,0.2865,1.6762,-0.6583,0.1956,-0.7233,0.4637,-0.9827,-1.1176,-0.8109,-0.094,-0.0358,-0.7823,-2.0744,-1.2893,-1.7161,-1.8585,-1.7886,-1.727,-2.1763,-1.2188,-0.4809,70.0,1,650.923,657.0939999999998,636.5723999999999,648.1964666666665,1,1
