CNTSTUID,GRADE,AGE,ISCEDL,PAREDINT,HISEI,IMMIG,REPEAT,ESCS,UNDREM,METASUM,METASPAM,HOMEPOS,CULTPOSS,HEDRES,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PISADIFF,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,GCSELFEFF,GCAWARE,ATTIMM,INTCULT,PERSPECT,COGFLEX,RESPECT,AWACOM,GLOBMIND,DISCRIM,BELONG,WVARSTRR,GENDER,MATH,SCIENCE,READ,TOTALSCORE,Is_MISCED_5B,Is_FISCED_5B,Is_HISCED_5B
60800645.0,0.0,15.33,ISCED level 2,12.0,73.71,Native,Did not repeat a  grade,-0.0204,-0.6,0.59,-1.41,-0.3186,-0.0891,-0.9191,-0.6242,-0.2533,0.4861,-0.3253,-0.6576,-0.62,0.0183,0.1744,-0.2119,-0.7391,1.2421,1.6524,1.0844,-0.5707,-0.1015,0.4637,0.2621,-1.1176,-0.8386,-0.3507,-0.9477,-1.4486,-0.2014,0.1712,-0.2842,-0.6318,-1.2257,-1.0306,-0.2186,0.0963,-0.3184,17.0,1,321.8341,322.8735,351.3039,332.00383333333326,0,0,0
60802536.0,0.0,15.5,ISCED level 2,12.0,17.0,Native,Did not repeat a  grade,-2.2039,-0.6,0.59,-1.41,-2.9251,-1.9582,-1.3835,-0.0424,1.314,1.0067,2.0165,1.0346,0.5102,0.4546,1.8245,0.5639,0.1222,1.2421,1.2958,1.0844,0.1956,-0.1015,0.4637,0.2621,0.7301,-0.0614,0.5761,-0.9477,-0.5306,-0.2014,0.2865,0.1686,-0.2417,-0.4401,-0.1577,0.291,0.5881,-0.5582,31.0,1,359.9187,337.8050999999999,320.1788,339.30086666666665,0,0,0
60805677.0,0.0,15.33,ISCED level 2,14.5,28.48,Native,Did not repeat a  grade,-0.4064,-1.64,-0.18,-0.96,-0.1415,1.9916,-1.0527,0.7843,1.314,0.2329,0.1707,1.0346,1.1884,-0.5786,-2.2177,-0.5193,1.2374,-0.663,1.2958,0.0083,-0.2661,0.487,-0.4342,1.1963,1.2386,1.217,1.1969,1.6463,1.6246,1.4992,1.6052,1.9097,0.6715,0.9289,1.1102,1.1797,-1.1549,0.6344,16.0,1,423.1593,420.576,438.7282,427.48783333333336,1,0,1
60805786.0,0.0,15.5,ISCED level 2,6.0,33.83,Native,Repeated a  grade,-2.7272,-1.29,-0.95,-0.5,-2.6463,-0.1227,-1.3835,-1.0614,-0.4289,0.006,-0.6555,-0.6576,0.0236,-0.2644,-1.0749,0.3342,-0.5485,1.2421,1.0453,-1.1664,-0.4112,-0.7233,-0.2006,0.2621,1.2386,-0.7997,-0.4347,-0.9432,-1.4477,-0.8275,0.1582,-0.3707,-0.2807,-0.7917,-0.7176,-0.2046,1.0428,-0.8395,79.0,0,304.2093,291.05249999999995,240.9353,278.7323666666666,0,0,0
60806811.0,0.0,15.33,ISCED level 2,12.0,36.35,Native,Did not repeat a  grade,-1.0875,-1.64,-1.34,-0.96,-1.1582,0.3658,-0.5492,-0.0424,0.385,0.4861,-0.3253,1.0346,0.2751,-0.1716,1.2662,-0.4194,0.1222,1.5959,1.6524,1.0844,0.1956,-0.1015,1.3423,0.9759,1.2386,-0.0614,1.8524,0.1904,-0.2497,0.6239,-0.4982,1.9097,0.7724,-0.4401,0.6882,0.291,1.2902,-0.3472,59.0,1,347.4406,338.519,327.0297,337.6631,0,0,0
60807023.0,0.0,15.25,ISCED level 2,12.0,17.0,Native,Did not repeat a  grade,-1.4997,-0.25,0.21,-0.04,-1.2612,-0.375,-0.1357,-0.3885,0.3485,0.5467,0.2012,-0.6576,0.2719,0.1067,0.636,-0.4194,-0.4089,0.8207,0.9672,1.0844,0.7871,-0.1015,-0.4342,0.2621,-1.1176,0.3858,1.8524,0.0043,0.7117,-0.5986,-0.0137,-0.6081,-0.1977,0.4165,0.1569,0.1195,0.5881,-0.4509,10.0,0,418.52920000000006,427.64990000000006,411.77580000000006,419.3183000000001,0,0,0
60801945.0,0.0,15.25,ISCED level 2,9.0,20.95,Native,Did not repeat a  grade,-2.45,-0.6,-0.95,-0.96,-2.5479,-1.0692,-1.0527,0.2108,-0.2023,1.0067,0.8654,0.5029,0.9325,0.1941,0.9888,0.9831,0.1222,0.795,1.6524,1.0844,0.1956,0.9982,1.0671,1.7411,1.2386,0.3858,1.1101,0.4009,0.6028,-0.2014,0.2865,0.1928,0.7724,-0.164,0.5193,0.5049,0.5881,0.6678,39.0,1,432.3767,420.2633,387.4775,413.3725,0,0,0
60805382.0,1.0,16.17,ISCED level 2,14.5,65.01,Native,Did not repeat a  grade,0.1291,-0.6,0.21,0.42,-0.5208,0.4562,1.1793,0.7767,0.7015,0.2329,-0.3253,1.0346,1.0383,0.1041,0.1744,3.5993,0.1222,-0.0697,-0.7816,1.0844,-0.733,1.8164,-0.7592,0.2621,0.4094,-0.144,1.1969,0.6178,0.3959,0.9083,-0.2436,0.1686,0.0168,0.4165,1.1471,1.526,-1.1549,1.4326,8.0,1,536.8747999999999,529.5986,568.2697999999999,544.9144,1,1,1
60802924.0,-1.0,15.42,ISCED level 2,6.0,26.64,Native,Repeated a  grade,-2.5433,-1.64,-0.95,-1.41,-1.5279,0.8337,-0.6853,2.0345,0.6259,1.8202,0.3993,-2.4468,-0.103,-2.2652,0.1744,0.2561,0.1222,1.2421,1.1904,1.0844,0.1956,-0.1015,-0.3799,0.2621,0.7301,-0.0614,0.5761,-1.5568,-1.2902,-0.2014,0.068,0.0237,0.2446,0.1323,-0.4506,-0.2186,0.0004,-0.8273,43.0,0,299.9859,285.10389999999995,253.5026,279.53079999999994,0,0,0
60807040.0,1.0,15.92,ISCED level 2,6.0,71.39,Native,Repeated a  grade,-1.355,-0.25,-1.34,-0.96,-1.0949,-0.9765,-1.0193,-0.6242,0.3995,0.5467,-0.3253,0.6402,2.0871,2.0073,1.2403,0.0627,1.0657,2.7752,2.4403,-0.6583,0.7871,-0.1015,0.4637,0.2621,-0.5928,1.1934,0.5761,-0.3054,-0.4455,0.2714,-0.4982,-0.5052,-1.0466,0.1707,0.911,0.8765,0.5881,-1.3295,63.0,1,263.81000000000006,256.3727,259.2761,259.8196,0,1,0
