CNTSTUID,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG
76406880,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76407307,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76407401,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76407469,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76407473,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76407656,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76407745,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76407969,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76408223,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76408809,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76408981,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76409014,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76409079,3,14.7925,784,0.241,1,53,0.9623,0.2264,0.6981,0.0377,33,2,1.2478,0.1077,0.1795,-0.5205,-1.0542
76400055,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76400485,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76400665,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76400737,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76400796,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76401054,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76401338,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76401450,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76401640,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76401700,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76401784,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76401874,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76402191,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76402878,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76402929,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76402998,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76403463,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76403777,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76404067,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76404097,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
76404422,3,30.9243,5721,0.2111,0.6,185,1,0.6892,0.3,0.0108,38,1,1.2631,-0.1798,0.8153,0.4883,-2.436
